id,href,name,detail,type1,type2
84,https://bulbapedia.bulbagarden.net/wiki/Doduo_(Pok%C3%A9mon),Doduo,,Normal,Flying
85,https://bulbapedia.bulbagarden.net/wiki/Dodrio_(Pok%C3%A9mon),Dodrio,,Normal,Flying
86,https://bulbapedia.bulbagarden.net/wiki/Seel_(Pok%C3%A9mon),Seel,,Water,
87,https://bulbapedia.bulbagarden.net/wiki/Dewgong_(Pok%C3%A9mon),Dewgong,,Water,Ice
88,https://bulbapedia.bulbagarden.net/wiki/Grimer_(Pok%C3%A9mon),Grimer,,Poison,
88,https://bulbapedia.bulbagarden.net/wiki/Grimer_(Pok%C3%A9mon),Grimer,Alolan Form,Poison,Dark
89,https://bulbapedia.bulbagarden.net/wiki/Muk_(Pok%C3%A9mon),Muk,,Poison,
89,https://bulbapedia.bulbagarden.net/wiki/Muk_(Pok%C3%A9mon),Muk,Alolan Form,Poison,Dark
90,https://bulbapedia.bulbagarden.net/wiki/Shellder_(Pok%C3%A9mon),Shellder,,Water,
91,https://bulbapedia.bulbagarden.net/wiki/Cloyster_(Pok%C3%A9mon),Cloyster,,Water,Ice
92,https://bulbapedia.bulbagarden.net/wiki/Gastly_(Pok%C3%A9mon),Gastly,,Ghost,Poison
93,https://bulbapedia.bulbagarden.net/wiki/Haunter_(Pok%C3%A9mon),Haunter,,Ghost,Poison
94,https://bulbapedia.bulbagarden.net/wiki/Gengar_(Pok%C3%A9mon),Gengar,,Ghost,Poison
95,https://bulbapedia.bulbagarden.net/wiki/Onix_(Pok%C3%A9mon),Onix,,Rock,Ground
96,https://bulbapedia.bulbagarden.net/wiki/Drowzee_(Pok%C3%A9mon),Drowzee,,Psychic,
97,https://bulbapedia.bulbagarden.net/wiki/Hypno_(Pok%C3%A9mon),Hypno,,Psychic,
98,https://bulbapedia.bulbagarden.net/wiki/Krabby_(Pok%C3%A9mon),Krabby,,Water,
99,https://bulbapedia.bulbagarden.net/wiki/Kingler_(Pok%C3%A9mon),Kingler,,Water,
100,https://bulbapedia.bulbagarden.net/wiki/Voltorb_(Pok%C3%A9mon),Voltorb,,Electric,
100,https://bulbapedia.bulbagarden.net/wiki/Voltorb_(Pok%C3%A9mon),Voltorb,Hisuian Form,Electric,Grass
101,https://bulbapedia.bulbagarden.net/wiki/Electrode_(Pok%C3%A9mon),Electrode,,Electric,
101,https://bulbapedia.bulbagarden.net/wiki/Electrode_(Pok%C3%A9mon),Electrode,Hisuian Form,Electric,Grass
102,https://bulbapedia.bulbagarden.net/wiki/Exeggcute_(Pok%C3%A9mon),Exeggcute,,Grass,Psychic
103,https://bulbapedia.bulbagarden.net/wiki/Exeggutor_(Pok%C3%A9mon),Exeggutor,,Grass,Psychic
103,https://bulbapedia.bulbagarden.net/wiki/Exeggutor_(Pok%C3%A9mon),Exeggutor,Alolan Form,Grass,Dragon
104,https://bulbapedia.bulbagarden.net/wiki/Cubone_(Pok%C3%A9mon),Cubone,,Ground,
105,https://bulbapedia.bulbagarden.net/wiki/Marowak_(Pok%C3%A9mon),Marowak,,Ground,
105,https://bulbapedia.bulbagarden.net/wiki/Marowak_(Pok%C3%A9mon),Marowak,Alolan Form,Fire,Ghost
106,https://bulbapedia.bulbagarden.net/wiki/Hitmonlee_(Pok%C3%A9mon),Hitmonlee,,Fighting,
107,https://bulbapedia.bulbagarden.net/wiki/Hitmonchan_(Pok%C3%A9mon),Hitmonchan,,Fighting,
108,https://bulbapedia.bulbagarden.net/wiki/Lickitung_(Pok%C3%A9mon),Lickitung,,Normal,
109,https://bulbapedia.bulbagarden.net/wiki/Koffing_(Pok%C3%A9mon),Koffing,,Poison,
110,https://bulbapedia.bulbagarden.net/wiki/Weezing_(Pok%C3%A9mon),Weezing,,Poison,
110,https://bulbapedia.bulbagarden.net/wiki/Weezing_(Pok%C3%A9mon),Weezing,Galarian Form,Poison,Fairy
111,https://bulbapedia.bulbagarden.net/wiki/Rhyhorn_(Pok%C3%A9mon),Rhyhorn,,Ground,Rock
112,https://bulbapedia.bulbagarden.net/wiki/Rhydon_(Pok%C3%A9mon),Rhydon,,Ground,Rock
113,https://bulbapedia.bulbagarden.net/wiki/Chansey_(Pok%C3%A9mon),Chansey,,Normal,
114,https://bulbapedia.bulbagarden.net/wiki/Tangela_(Pok%C3%A9mon),Tangela,,Grass,
115,https://bulbapedia.bulbagarden.net/wiki/Kangaskhan_(Pok%C3%A9mon),Kangaskhan,,Normal,
116,https://bulbapedia.bulbagarden.net/wiki/Horsea_(Pok%C3%A9mon),Horsea,,Water,
117,https://bulbapedia.bulbagarden.net/wiki/Seadra_(Pok%C3%A9mon),Seadra,,Water,
118,https://bulbapedia.bulbagarden.net/wiki/Goldeen_(Pok%C3%A9mon),Goldeen,,Water,
119,https://bulbapedia.bulbagarden.net/wiki/Seaking_(Pok%C3%A9mon),Seaking,,Water,
120,https://bulbapedia.bulbagarden.net/wiki/Staryu_(Pok%C3%A9mon),Staryu,,Water,
121,https://bulbapedia.bulbagarden.net/wiki/Starmie_(Pok%C3%A9mon),Starmie,,Water,Psychic
122,https://bulbapedia.bulbagarden.net/wiki/Mr._Mime_(Pok%C3%A9mon),Mr. Mime,,Psychic,Fairy
122,https://bulbapedia.bulbagarden.net/wiki/Mr._Mime_(Pok%C3%A9mon),Mr. Mime,Galarian Form,Ice,Psychic
123,https://bulbapedia.bulbagarden.net/wiki/Scyther_(Pok%C3%A9mon),Scyther,,Bug,Flying
124,https://bulbapedia.bulbagarden.net/wiki/Jynx_(Pok%C3%A9mon),Jynx,,Ice,Psychic
125,https://bulbapedia.bulbagarden.net/wiki/Electabuzz_(Pok%C3%A9mon),Electabuzz,,Electric,
126,https://bulbapedia.bulbagarden.net/wiki/Magmar_(Pok%C3%A9mon),Magmar,,Fire,
127,https://bulbapedia.bulbagarden.net/wiki/Pinsir_(Pok%C3%A9mon),Pinsir,,Bug,
128,https://bulbapedia.bulbagarden.net/wiki/Tauros_(Pok%C3%A9mon),Tauros,,Normal,
128,https://bulbapedia.bulbagarden.net/wiki/Tauros_(Pok%C3%A9mon),Tauros,Paldean Form(Combat Breed),Fighting,
128,https://bulbapedia.bulbagarden.net/wiki/Tauros_(Pok%C3%A9mon),Tauros,Paldean Form(Blaze Breed),Fighting,Fire
128,https://bulbapedia.bulbagarden.net/wiki/Tauros_(Pok%C3%A9mon),Tauros,Paldean Form(Aqua Breed),Fighting,Water
129,https://bulbapedia.bulbagarden.net/wiki/Magikarp_(Pok%C3%A9mon),Magikarp,,Water,
130,https://bulbapedia.bulbagarden.net/wiki/Gyarados_(Pok%C3%A9mon),Gyarados,,Water,Flying
131,https://bulbapedia.bulbagarden.net/wiki/Lapras_(Pok%C3%A9mon),Lapras,,Water,Ice
132,https://bulbapedia.bulbagarden.net/wiki/Ditto_(Pok%C3%A9mon),Ditto,,Normal,
133,https://bulbapedia.bulbagarden.net/wiki/Eevee_(Pok%C3%A9mon),Eevee,,Normal,
134,https://bulbapedia.bulbagarden.net/wiki/Vaporeon_(Pok%C3%A9mon),Vaporeon,,Water,
135,https://bulbapedia.bulbagarden.net/wiki/Jolteon_(Pok%C3%A9mon),Jolteon,,Electric,
136,https://bulbapedia.bulbagarden.net/wiki/Flareon_(Pok%C3%A9mon),Flareon,,Fire,
137,https://bulbapedia.bulbagarden.net/wiki/Porygon_(Pok%C3%A9mon),Porygon,,Normal,
138,https://bulbapedia.bulbagarden.net/wiki/Omanyte_(Pok%C3%A9mon),Omanyte,,Rock,Water
139,https://bulbapedia.bulbagarden.net/wiki/Omastar_(Pok%C3%A9mon),Omastar,,Rock,Water
140,https://bulbapedia.bulbagarden.net/wiki/Kabuto_(Pok%C3%A9mon),Kabuto,,Rock,Water
141,https://bulbapedia.bulbagarden.net/wiki/Kabutops_(Pok%C3%A9mon),Kabutops,,Rock,Water
142,https://bulbapedia.bulbagarden.net/wiki/Aerodactyl_(Pok%C3%A9mon),Aerodactyl,,Rock,Flying
143,https://bulbapedia.bulbagarden.net/wiki/Snorlax_(Pok%C3%A9mon),Snorlax,,Normal,
144,https://bulbapedia.bulbagarden.net/wiki/Articuno_(Pok%C3%A9mon),Articuno,,Ice,Flying
144,https://bulbapedia.bulbagarden.net/wiki/Articuno_(Pok%C3%A9mon),Articuno,Galarian Form,Psychic,Flying
145,https://bulbapedia.bulbagarden.net/wiki/Zapdos_(Pok%C3%A9mon),Zapdos,,Electric,Flying
145,https://bulbapedia.bulbagarden.net/wiki/Zapdos_(Pok%C3%A9mon),Zapdos,Galarian Form,Fighting,Flying
146,https://bulbapedia.bulbagarden.net/wiki/Moltres_(Pok%C3%A9mon),Moltres,,Fire,Flying
146,https://bulbapedia.bulbagarden.net/wiki/Moltres_(Pok%C3%A9mon),Moltres,Galarian Form,Dark,Flying
147,https://bulbapedia.bulbagarden.net/wiki/Dratini_(Pok%C3%A9mon),Dratini,,Dragon,
148,https://bulbapedia.bulbagarden.net/wiki/Dragonair_(Pok%C3%A9mon),Dragonair,,Dragon,
149,https://bulbapedia.bulbagarden.net/wiki/Dragonite_(Pok%C3%A9mon),Dragonite,,Dragon,Flying
150,https://bulbapedia.bulbagarden.net/wiki/Mewtwo_(Pok%C3%A9mon),Mewtwo,,Psychic,
151,https://bulbapedia.bulbagarden.net/wiki/Mew_(Pok%C3%A9mon),Mew,,Psychic,
152,https://bulbapedia.bulbagarden.net/wiki/Chikorita_(Pok%C3%A9mon),Chikorita,,Grass,
153,https://bulbapedia.bulbagarden.net/wiki/Bayleef_(Pok%C3%A9mon),Bayleef,,Grass,
154,https://bulbapedia.bulbagarden.net/wiki/Meganium_(Pok%C3%A9mon),Meganium,,Grass,
155,https://bulbapedia.bulbagarden.net/wiki/Cyndaquil_(Pok%C3%A9mon),Cyndaquil,,Fire,
156,https://bulbapedia.bulbagarden.net/wiki/Quilava_(Pok%C3%A9mon),Quilava,,Fire,
157,https://bulbapedia.bulbagarden.net/wiki/Typhlosion_(Pok%C3%A9mon),Typhlosion,,Fire,
157,https://bulbapedia.bulbagarden.net/wiki/Typhlosion_(Pok%C3%A9mon),Typhlosion,Hisuian Form,Fire,Ghost
158,https://bulbapedia.bulbagarden.net/wiki/Totodile_(Pok%C3%A9mon),Totodile,,Water,
159,https://bulbapedia.bulbagarden.net/wiki/Croconaw_(Pok%C3%A9mon),Croconaw,,Water,
160,https://bulbapedia.bulbagarden.net/wiki/Feraligatr_(Pok%C3%A9mon),Feraligatr,,Water,
161,https://bulbapedia.bulbagarden.net/wiki/Sentret_(Pok%C3%A9mon),Sentret,,Normal,
162,https://bulbapedia.bulbagarden.net/wiki/Furret_(Pok%C3%A9mon),Furret,,Normal,
163,https://bulbapedia.bulbagarden.net/wiki/Hoothoot_(Pok%C3%A9mon),Hoothoot,,Normal,Flying
164,https://bulbapedia.bulbagarden.net/wiki/Noctowl_(Pok%C3%A9mon),Noctowl,,Normal,Flying
165,https://bulbapedia.bulbagarden.net/wiki/Ledyba_(Pok%C3%A9mon),Ledyba,,Bug,Flying
166,https://bulbapedia.bulbagarden.net/wiki/Ledian_(Pok%C3%A9mon),Ledian,,Bug,Flying
167,https://bulbapedia.bulbagarden.net/wiki/Spinarak_(Pok%C3%A9mon),Spinarak,,Bug,Poison
168,https://bulbapedia.bulbagarden.net/wiki/Ariados_(Pok%C3%A9mon),Ariados,,Bug,Poison
169,https://bulbapedia.bulbagarden.net/wiki/Crobat_(Pok%C3%A9mon),Crobat,,Poison,Flying
170,https://bulbapedia.bulbagarden.net/wiki/Chinchou_(Pok%C3%A9mon),Chinchou,,Water,Electric
171,https://bulbapedia.bulbagarden.net/wiki/Lanturn_(Pok%C3%A9mon),Lanturn,,Water,Electric
172,https://bulbapedia.bulbagarden.net/wiki/Pichu_(Pok%C3%A9mon),Pichu,,Electric,
173,https://bulbapedia.bulbagarden.net/wiki/Cleffa_(Pok%C3%A9mon),Cleffa,,Fairy,
174,https://bulbapedia.bulbagarden.net/wiki/Igglybuff_(Pok%C3%A9mon),Igglybuff,,Normal,Fairy
175,https://bulbapedia.bulbagarden.net/wiki/Togepi_(Pok%C3%A9mon),Togepi,,Fairy,
176,https://bulbapedia.bulbagarden.net/wiki/Togetic_(Pok%C3%A9mon),Togetic,,Fairy,Flying
177,https://bulbapedia.bulbagarden.net/wiki/Natu_(Pok%C3%A9mon),Natu,,Psychic,Flying
178,https://bulbapedia.bulbagarden.net/wiki/Xatu_(Pok%C3%A9mon),Xatu,,Psychic,Flying
179,https://bulbapedia.bulbagarden.net/wiki/Mareep_(Pok%C3%A9mon),Mareep,,Electric,
180,https://bulbapedia.bulbagarden.net/wiki/Flaaffy_(Pok%C3%A9mon),Flaaffy,,Electric,
181,https://bulbapedia.bulbagarden.net/wiki/Ampharos_(Pok%C3%A9mon),Ampharos,,Electric,
182,https://bulbapedia.bulbagarden.net/wiki/Bellossom_(Pok%C3%A9mon),Bellossom,,Grass,
183,https://bulbapedia.bulbagarden.net/wiki/Marill_(Pok%C3%A9mon),Marill,,Water,Fairy
184,https://bulbapedia.bulbagarden.net/wiki/Azumarill_(Pok%C3%A9mon),Azumarill,,Water,Fairy
185,https://bulbapedia.bulbagarden.net/wiki/Sudowoodo_(Pok%C3%A9mon),Sudowoodo,,Rock,
186,https://bulbapedia.bulbagarden.net/wiki/Politoed_(Pok%C3%A9mon),Politoed,,Water,
187,https://bulbapedia.bulbagarden.net/wiki/Hoppip_(Pok%C3%A9mon),Hoppip,,Grass,Flying
188,https://bulbapedia.bulbagarden.net/wiki/Skiploom_(Pok%C3%A9mon),Skiploom,,Grass,Flying
189,https://bulbapedia.bulbagarden.net/wiki/Jumpluff_(Pok%C3%A9mon),Jumpluff,,Grass,Flying
190,https://bulbapedia.bulbagarden.net/wiki/Aipom_(Pok%C3%A9mon),Aipom,,Normal,
191,https://bulbapedia.bulbagarden.net/wiki/Sunkern_(Pok%C3%A9mon),Sunkern,,Grass,
192,https://bulbapedia.bulbagarden.net/wiki/Sunflora_(Pok%C3%A9mon),Sunflora,,Grass,
193,https://bulbapedia.bulbagarden.net/wiki/Yanma_(Pok%C3%A9mon),Yanma,,Bug,Flying
194,https://bulbapedia.bulbagarden.net/wiki/Wooper_(Pok%C3%A9mon),Wooper,,Water,Ground
194,https://bulbapedia.bulbagarden.net/wiki/Wooper_(Pok%C3%A9mon),Wooper,Paldean Form,Poison,Ground
195,https://bulbapedia.bulbagarden.net/wiki/Quagsire_(Pok%C3%A9mon),Quagsire,,Water,Ground
196,https://bulbapedia.bulbagarden.net/wiki/Espeon_(Pok%C3%A9mon),Espeon,,Psychic,
197,https://bulbapedia.bulbagarden.net/wiki/Umbreon_(Pok%C3%A9mon),Umbreon,,Dark,
198,https://bulbapedia.bulbagarden.net/wiki/Murkrow_(Pok%C3%A9mon),Murkrow,,Dark,Flying
199,https://bulbapedia.bulbagarden.net/wiki/Slowking_(Pok%C3%A9mon),Slowking,,Water,Psychic
199,https://bulbapedia.bulbagarden.net/wiki/Slowking_(Pok%C3%A9mon),Slowking,Galarian Form,Poison,Psychic
200,https://bulbapedia.bulbagarden.net/wiki/Misdreavus_(Pok%C3%A9mon),Misdreavus,,Ghost,
201,https://bulbapedia.bulbagarden.net/wiki/Unown_(Pok%C3%A9mon),Unown,One form,Psychic,
202,https://bulbapedia.bulbagarden.net/wiki/Wobbuffet_(Pok%C3%A9mon),Wobbuffet,,Psychic,
203,https://bulbapedia.bulbagarden.net/wiki/Girafarig_(Pok%C3%A9mon),Girafarig,,Normal,Psychic
204,https://bulbapedia.bulbagarden.net/wiki/Pineco_(Pok%C3%A9mon),Pineco,,Bug,
205,https://bulbapedia.bulbagarden.net/wiki/Forretress_(Pok%C3%A9mon),Forretress,,Bug,Steel
