idx,name,type_cnt,label,img,type1,type2,species,height,weight,abilities,eggs,gender,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,total,Nor,Fir,Wat,Ele,Gra,Ice,Fig,Poi,Gro,Fly,Psy,Bug,Roc,Gho,Dra,Dar,Ste,Fai
17,Pidgeotto,1,Pidgeotto,https://img.pokemondb.net/artwork/large/pidgeotto.jpg,Normal,Flying,Bird Pokémon,1.1 m (3′07″),30.0 kg (66.1 lbs),Keen Eye | Tangled Feet | Big Pecks,['Flying'],"50% male, 50% female",63,60,55,50,50,71,349,1,1,1,2,½,2,1,1,0,1,1,½,2,0,1,1,1,1
18,Pidgeot,2,Pidgeot,https://img.pokemondb.net/artwork/large/pidgeot.jpg,Normal,Flying,Bird Pokémon,1.5 m (4′11″),39.5 kg (87.1 lbs),Keen Eye | Tangled Feet | Big Pecks,['Flying'],"50% male, 50% female",83,80,75,70,70,101,479,1,1,1,2,½,2,1,1,0,1,1,½,2,0,1,1,1,1
18,Pidgeot,2,Mega Pidgeot,https://img.pokemondb.net/artwork/large/pidgeot-mega.jpg,Normal,Flying,Bird Pokémon,2.2 m (7′03″),50.5 kg (111.3 lbs),No Guard,['Flying'],"50% male, 50% female",83,80,80,135,80,121,579,1,1,1,2,½,2,1,1,0,1,1,½,2,0,1,1,1,1
19,Rattata,2,Rattata,https://img.pokemondb.net/artwork/large/rattata.jpg,Normal,,Mouse Pokémon,0.3 m (1′00″),3.5 kg (7.7 lbs),Run Away | Guts | Hustle,['Field'],"50% male, 50% female",30,56,35,25,35,72,253,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
19,Rattata,2,Alolan Rattata,https://img.pokemondb.net/artwork/large/rattata-alolan.jpg,Dark,Normal,Mouse Pokémon,0.3 m (1′00″),3.8 kg (8.4 lbs),Gluttony | Hustle | Thick Fat,['Field'],"50% male, 50% female",30,56,35,25,35,72,253,1,1,1,1,1,1,4,1,1,1,0,2,1,0,1,½,1,2
20,Raticate,2,Raticate,https://img.pokemondb.net/artwork/large/raticate.jpg,Normal,,Mouse Pokémon,0.7 m (2′04″),18.5 kg (40.8 lbs),Run Away | Guts | Hustle,['Field'],"50% male, 50% female",55,81,60,50,70,97,413,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
20,Raticate,2,Alolan Raticate,https://img.pokemondb.net/artwork/large/raticate-alolan.jpg,Dark,Normal,Mouse Pokémon,0.7 m (2′04″),25.5 kg (56.2 lbs),Gluttony | Hustle | Thick Fat,['Field'],"50% male, 50% female",75,71,70,40,80,77,413,1,1,1,1,1,1,4,1,1,1,0,2,1,0,1,½,1,2
21,Spearow,1,Spearow,https://img.pokemondb.net/artwork/large/spearow.jpg,Normal,Flying,Tiny Bird Pokémon,0.3 m (1′00″),2.0 kg (4.4 lbs),Keen Eye | Sniper,['Flying'],"50% male, 50% female",40,60,30,31,31,70,262,1,1,1,2,½,2,1,1,0,1,1,½,2,0,1,1,1,1
22,Fearow,1,Fearow,https://img.pokemondb.net/artwork/large/fearow.jpg,Normal,Flying,Beak Pokémon,1.2 m (3′11″),38.0 kg (83.8 lbs),Keen Eye | Sniper,['Flying'],"50% male, 50% female",65,90,65,61,61,100,442,1,1,1,2,½,2,1,1,0,1,1,½,2,0,1,1,1,1
23,Ekans,1,Ekans,https://img.pokemondb.net/artwork/large/ekans.jpg,Poison,,Snake Pokémon,2.0 m (6′07″),6.9 kg (15.2 lbs),Intimidate | Shed Skin | Unnerve,"['Dragon', 'Field']","50% male, 50% female",35,60,44,40,54,55,288,1,1,1,1,½,1,½,½,2,1,2,½,1,1,1,1,1,½
24,Arbok,1,Arbok,https://img.pokemondb.net/artwork/large/arbok.jpg,Poison,,Cobra Pokémon,3.5 m (11′06″),65.0 kg (143.3 lbs),Intimidate | Shed Skin | Unnerve,"['Dragon', 'Field']","50% male, 50% female",60,95,69,65,79,80,448,1,1,1,1,½,1,½,½,2,1,2,½,1,1,1,1,1,½
25,Pikachu,2,Pikachu,https://img.pokemondb.net/artwork/large/pikachu.jpg,Electric,,Mouse Pokémon,0.4 m (1′04″),6.0 kg (13.2 lbs),Static | Lightning Rod,"['Fairy', 'Field']","50% male, 50% female",35,55,40,50,50,90,320,1,1,1,½,1,1,1,1,2,½,1,1,1,1,1,1,½,1
25,Pikachu,2,Partner Pikachu,https://img.pokemondb.net/artwork/large/pikachu-lets-go.jpg,Electric,,Mouse Pokémon,0.4 m (1′04″),6.0 kg (13.2 lbs),,[],"50% male, 50% female",45,80,50,75,60,120,430,1,1,1,½,1,1,1,1,2,½,1,1,1,1,1,1,½,1
26,Raichu,2,Raichu,https://img.pokemondb.net/artwork/large/raichu.jpg,Electric,,Mouse Pokémon,0.8 m (2′07″),30.0 kg (66.1 lbs),Static | Lightning Rod,"['Fairy', 'Field']","50% male, 50% female",60,90,55,90,80,110,485,1,1,1,½,1,1,1,1,2,½,1,1,1,1,1,1,½,1
26,Raichu,2,Alolan Raichu,https://img.pokemondb.net/artwork/large/raichu-alolan.jpg,Electric,Psychic,Mouse Pokémon,0.7 m (2′04″),21.0 kg (46.3 lbs),Surge Surfer,"['Fairy', 'Field']","50% male, 50% female",60,85,50,95,85,110,485,1,1,1,½,1,1,½,1,2,½,½,2,1,2,1,2,½,1
27,Sandshrew,2,Sandshrew,https://img.pokemondb.net/artwork/large/sandshrew.jpg,Ground,,Mouse Pokémon,0.6 m (2′00″),12.0 kg (26.5 lbs),Sand Veil | Sand Rush,['Field'],"50% male, 50% female",50,75,85,20,30,40,300,1,1,2,0,2,2,1,½,1,1,1,1,½,1,1,1,1,1
27,Sandshrew,2,Alolan Sandshrew,https://img.pokemondb.net/artwork/large/sandshrew-alolan.jpg,Ice,Steel,Mouse Pokémon,0.7 m (2′04″),40.0 kg (88.2 lbs),Snow Cloak | Slush Rush,['Field'],"50% male, 50% female",50,75,90,10,35,40,300,½,4,1,1,½,¼,4,0,2,½,½,½,1,1,½,1,1,½
28,Sandslash,2,Sandslash,https://img.pokemondb.net/artwork/large/sandslash.jpg,Ground,,Mouse Pokémon,1.0 m (3′03″),29.5 kg (65.0 lbs),Sand Veil | Sand Rush,['Field'],"50% male, 50% female",75,100,110,45,55,65,450,1,1,2,0,2,2,1,½,1,1,1,1,½,1,1,1,1,1
28,Sandslash,2,Alolan Sandslash,https://img.pokemondb.net/artwork/large/sandslash-alolan.jpg,Ice,Steel,Mouse Pokémon,1.2 m (3′11″),55.0 kg (121.3 lbs),Snow Cloak | Slush Rush,['Field'],"50% male, 50% female",75,100,120,25,65,65,450,½,4,1,1,½,¼,4,0,2,½,½,½,1,1,½,1,1,½
29,Nidoran-f,1,Nidoran♀,https://img.pokemondb.net/artwork/large/nidoran-f.jpg,Poison,,Poison Pin Pokémon,0.4 m (1′04″),7.0 kg (15.4 lbs),Poison Point | Rivalry | Hustle,"['Field', 'Monster']","0% male, 100% female",55,47,52,40,40,41,275,1,1,1,1,½,1,½,½,2,1,2,½,1,1,1,1,1,½
30,Nidorina,1,Nidorina,https://img.pokemondb.net/artwork/large/nidorina.jpg,Poison,,Poison Pin Pokémon,0.8 m (2′07″),20.0 kg (44.1 lbs),Poison Point | Rivalry | Hustle,['Undiscovered'],"0% male, 100% female",70,62,67,55,55,56,365,1,1,1,1,½,1,½,½,2,1,2,½,1,1,1,1,1,½
31,Nidoqueen,1,Nidoqueen,https://img.pokemondb.net/artwork/large/nidoqueen.jpg,Poison,Ground,Drill Pokémon,1.3 m (4′03″),60.0 kg (132.3 lbs),Poison Point | Rivalry | Sheer Force,['Undiscovered'],"0% male, 100% female",90,92,87,75,85,76,505,1,1,2,0,1,2,½,¼,2,1,2,½,½,1,1,1,1,½
32,Nidoran-m,1,Nidoran♂,https://img.pokemondb.net/artwork/large/nidoran-m.jpg,Poison,,Poison Pin Pokémon,0.5 m (1′08″),9.0 kg (19.8 lbs),Poison Point | Rivalry | Hustle,"['Field', 'Monster']","100% male, 0% female",46,57,40,40,40,50,273,1,1,1,1,½,1,½,½,2,1,2,½,1,1,1,1,1,½
33,Nidorino,1,Nidorino,https://img.pokemondb.net/artwork/large/nidorino.jpg,Poison,,Poison Pin Pokémon,0.9 m (2′11″),19.5 kg (43.0 lbs),Poison Point | Rivalry | Hustle,"['Field', 'Monster']","100% male, 0% female",61,72,57,55,55,65,365,1,1,1,1,½,1,½,½,2,1,2,½,1,1,1,1,1,½
34,Nidoking,1,Nidoking,https://img.pokemondb.net/artwork/large/nidoking.jpg,Poison,Ground,Drill Pokémon,1.4 m (4′07″),62.0 kg (136.7 lbs),Poison Point | Rivalry | Sheer Force,"['Field', 'Monster']","100% male, 0% female",81,102,77,85,75,85,505,1,1,2,0,1,2,½,¼,2,1,2,½,½,1,1,1,1,½
35,Clefairy,1,Clefairy,https://img.pokemondb.net/artwork/large/clefairy.jpg,Fairy,,Fairy Pokémon,0.6 m (2′00″),7.5 kg (16.5 lbs),Cute Charm | Magic Guard | Friend Guard,['Fairy'],"25% male, 75% female",70,45,48,60,65,35,323,1,1,1,1,1,1,½,2,1,1,1,½,1,1,0,½,2,1
36,Clefable,1,Clefable,https://img.pokemondb.net/artwork/large/clefable.jpg,Fairy,,Fairy Pokémon,1.3 m (4′03″),40.0 kg (88.2 lbs),Cute Charm | Magic Guard | Unaware,['Fairy'],"25% male, 75% female",95,70,73,95,90,60,483,1,1,1,1,1,1,½,2,1,1,1,½,1,1,0,½,2,1
37,Vulpix,2,Vulpix,https://img.pokemondb.net/artwork/large/vulpix.jpg,Fire,,Fox Pokémon,0.6 m (2′00″),9.9 kg (21.8 lbs),Flash Fire | Drought,['Field'],"25% male, 75% female",38,41,40,50,65,65,299,1,0,2,1,½,½,1,1,2,1,1,½,2,1,1,1,½,½
37,Vulpix,2,Alolan Vulpix,https://img.pokemondb.net/artwork/large/vulpix-alolan.jpg,Ice,,Fox Pokémon,0.6 m (2′00″),9.9 kg (21.8 lbs),Snow Cloak | Snow Warning,['Field'],"25% male, 75% female",38,41,40,50,65,65,299,1,2,1,1,1,½,2,1,1,1,1,1,2,1,1,1,2,1
38,Ninetales,2,Ninetales,https://img.pokemondb.net/artwork/large/ninetales.jpg,Fire,,Fox Pokémon,1.1 m (3′07″),19.9 kg (43.9 lbs),Flash Fire | Drought,['Field'],"25% male, 75% female",73,76,75,81,100,100,505,1,0,2,1,½,½,1,1,2,1,1,½,2,1,1,1,½,½
38,Ninetales,2,Alolan Ninetales,https://img.pokemondb.net/artwork/large/ninetales-alolan.jpg,Ice,Fairy,Fox Pokémon,1.1 m (3′07″),19.9 kg (43.9 lbs),Snow Cloak | Snow Warning,['Field'],"25% male, 75% female",73,67,75,81,100,109,505,1,2,1,1,1,½,1,2,1,1,1,½,2,1,0,½,4,1
39,Jigglypuff,1,Jigglypuff,https://img.pokemondb.net/artwork/large/jigglypuff.jpg,Normal,Fairy,Balloon Pokémon,0.5 m (1′08″),5.5 kg (12.1 lbs),Cute Charm | Competitive | Friend Guard,['Fairy'],"25% male, 75% female",115,45,20,45,25,20,270,1,1,1,1,1,1,1,2,1,1,1,½,1,0,0,½,2,1
40,Wigglytuff,1,Wigglytuff,https://img.pokemondb.net/artwork/large/wigglytuff.jpg,Normal,Fairy,Balloon Pokémon,1.0 m (3′03″),12.0 kg (26.5 lbs),Cute Charm | Competitive | Frisk,['Fairy'],"25% male, 75% female",140,70,45,85,50,45,435,1,1,1,1,1,1,1,2,1,1,1,½,1,0,0,½,2,1
41,Zubat,1,Zubat,https://img.pokemondb.net/artwork/large/zubat.jpg,Poison,Flying,Bat Pokémon,0.8 m (2′07″),7.5 kg (16.5 lbs),Inner Focus | Infiltrator,['Flying'],"50% male, 50% female",40,45,35,30,40,55,245,1,1,1,2,¼,2,¼,½,0,1,2,¼,2,1,1,1,1,½
42,Golbat,1,Golbat,https://img.pokemondb.net/artwork/large/golbat.jpg,Poison,Flying,Bat Pokémon,1.6 m (5′03″),55.0 kg (121.3 lbs),Inner Focus | Infiltrator,['Flying'],"50% male, 50% female",75,80,70,65,75,90,455,1,1,1,2,¼,2,¼,½,0,1,2,¼,2,1,1,1,1,½
43,Oddish,1,Oddish,https://img.pokemondb.net/artwork/large/oddish.jpg,Grass,Poison,Weed Pokémon,0.5 m (1′08″),5.4 kg (11.9 lbs),Chlorophyll | Run Away,['Grass'],"50% male, 50% female",45,50,55,75,65,30,320,1,2,½,½,¼,2,½,1,1,2,2,1,1,1,1,1,1,½
44,Gloom,1,Gloom,https://img.pokemondb.net/artwork/large/gloom.jpg,Grass,Poison,Weed Pokémon,0.8 m (2′07″),8.6 kg (19.0 lbs),Chlorophyll | Stench,['Grass'],"50% male, 50% female",60,65,70,85,75,40,395,1,2,½,½,¼,2,½,1,1,2,2,1,1,1,1,1,1,½
45,Vileplume,1,Vileplume,https://img.pokemondb.net/artwork/large/vileplume.jpg,Grass,Poison,Flower Pokémon,1.2 m (3′11″),18.6 kg (41.0 lbs),Chlorophyll | Effect Spore,['Grass'],"50% male, 50% female",75,80,85,110,90,50,490,1,2,½,½,¼,2,½,1,1,2,2,1,1,1,1,1,1,½
46,Paras,1,Paras,https://img.pokemondb.net/artwork/large/paras.jpg,Bug,Grass,Mushroom Pokémon,0.3 m (1′00″),5.4 kg (11.9 lbs),Effect Spore | Dry Skin | Damp,"['Bug', 'Grass']","50% male, 50% female",35,70,55,45,55,25,285,1,4,½,½,¼,2,½,2,¼,4,1,2,2,1,1,1,1,1
47,Parasect,1,Parasect,https://img.pokemondb.net/artwork/large/parasect.jpg,Bug,Grass,Mushroom Pokémon,1.0 m (3′03″),29.5 kg (65.0 lbs),Effect Spore | Dry Skin | Damp,"['Bug', 'Grass']","50% male, 50% female",60,95,80,60,80,30,405,1,4,½,½,¼,2,½,2,¼,4,1,2,2,1,1,1,1,1
48,Venonat,1,Venonat,https://img.pokemondb.net/artwork/large/venonat.jpg,Bug,Poison,Insect Pokémon,1.0 m (3′03″),30.0 kg (66.1 lbs),Compound Eyes | Tinted Lens | Run Away,['Bug'],"50% male, 50% female",60,55,50,40,55,45,305,1,2,1,1,¼,1,¼,½,1,2,2,½,2,1,1,1,1,½
49,Venomoth,1,Venomoth,https://img.pokemondb.net/artwork/large/venomoth.jpg,Bug,Poison,Poison Moth Pokémon,1.5 m (4′11″),12.5 kg (27.6 lbs),Shield Dust | Tinted Lens | Wonder Skin,['Bug'],"50% male, 50% female",70,65,60,90,75,90,450,1,2,1,1,¼,1,¼,½,1,2,2,½,2,1,1,1,1,½
50,Diglett,2,Diglett,https://img.pokemondb.net/artwork/large/diglett.jpg,Ground,,Mole Pokémon,0.2 m (0′08″),0.8 kg (1.8 lbs),Sand Veil | Arena Trap | Sand Force,['Field'],"50% male, 50% female",10,55,25,35,45,95,265,1,1,2,0,2,2,1,½,1,1,1,1,½,1,1,1,1,1
50,Diglett,2,Alolan Diglett,https://img.pokemondb.net/artwork/large/diglett-alolan.jpg,Ground,Steel,Mole Pokémon,0.2 m (0′08″),1.0 kg (2.2 lbs),Sand Veil | Tangling Hair | Sand Force,['Field'],"50% male, 50% female",10,55,30,35,45,90,265,½,2,2,0,1,1,2,0,2,½,½,½,¼,1,½,1,½,½
51,Dugtrio,2,Dugtrio,https://img.pokemondb.net/artwork/large/dugtrio.jpg,Ground,,Mole Pokémon,0.7 m (2′04″),33.3 kg (73.4 lbs),Sand Veil | Arena Trap | Sand Force,['Field'],"50% male, 50% female",35,100,50,50,70,120,425,1,1,2,0,2,2,1,½,1,1,1,1,½,1,1,1,1,1
51,Dugtrio,2,Alolan Dugtrio,https://img.pokemondb.net/artwork/large/dugtrio-alolan.jpg,Ground,Steel,Mole Pokémon,0.7 m (2′04″),66.6 kg (146.8 lbs),Sand Veil | Tangling Hair | Sand Force,['Field'],"50% male, 50% female",35,100,60,50,70,110,425,½,2,2,0,1,1,2,0,2,½,½,½,¼,1,½,1,½,½
52,Meowth,3,Meowth,https://img.pokemondb.net/artwork/large/meowth.jpg,Normal,,Scratch Cat Pokémon,0.4 m (1′04″),4.2 kg (9.3 lbs),Pickup | Technician | Unnerve,['Field'],"50% male, 50% female",40,45,35,40,40,90,290,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
52,Meowth,3,Alolan Meowth,https://img.pokemondb.net/artwork/large/meowth-alolan.jpg,Dark,,Scratch Cat Pokémon,0.4 m (1′04″),4.2 kg (9.3 lbs),Pickup | Technician | Rattled,['Field'],"50% male, 50% female",40,35,35,50,40,90,290,1,1,1,1,1,1,2,1,1,1,0,2,1,½,1,½,1,2
52,Meowth,3,Galarian Meowth,https://img.pokemondb.net/artwork/large/meowth-galarian.jpg,Steel,,Scratch Cat Pokémon,0.4 m (1′04″),7.5 kg (16.5 lbs),Pickup | Tough Claws | Unnerve,['Field'],"50% male, 50% female",50,65,55,40,40,40,290,½,2,1,1,½,½,2,0,2,½,½,½,½,1,½,1,½,½
53,Persian,2,Persian,https://img.pokemondb.net/artwork/large/persian.jpg,Normal,,Classy Cat Pokémon,1.0 m (3′03″),32.0 kg (70.5 lbs),Limber | Technician | Unnerve,['Field'],"50% male, 50% female",65,70,60,65,65,115,440,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
53,Persian,2,Alolan Persian,https://img.pokemondb.net/artwork/large/persian-alolan.jpg,Dark,,Classy Cat Pokémon,1.1 m (3′07″),33.0 kg (72.8 lbs),Fur Coat | Technician | Rattled,['Field'],"50% male, 50% female",65,60,60,75,65,115,440,1,1,1,1,1,1,2,1,1,1,0,2,1,½,1,½,1,2
54,Psyduck,1,Psyduck,https://img.pokemondb.net/artwork/large/psyduck.jpg,Water,,Duck Pokémon,0.8 m (2′07″),19.6 kg (43.2 lbs),Damp | Cloud Nine | Swift Swim,"['Field', 'Water 1']","50% male, 50% female",50,52,48,65,50,55,320,1,½,½,2,2,½,1,1,1,1,1,1,1,1,1,1,½,1
55,Golduck,1,Golduck,https://img.pokemondb.net/artwork/large/golduck.jpg,Water,,Duck Pokémon,1.7 m (5′07″),76.6 kg (168.9 lbs),Damp | Cloud Nine | Swift Swim,"['Field', 'Water 1']","50% male, 50% female",80,82,78,95,80,85,500,1,½,½,2,2,½,1,1,1,1,1,1,1,1,1,1,½,1
56,Mankey,1,Mankey,https://img.pokemondb.net/artwork/large/mankey.jpg,Fighting,,Pig Monkey Pokémon,0.5 m (1′08″),28.0 kg (61.7 lbs),Vital Spirit | Anger Point | Defiant,['Field'],"50% male, 50% female",40,80,35,35,45,70,305,1,1,1,1,1,1,1,1,1,2,2,½,½,1,1,½,1,2
57,Primeape,1,Primeape,https://img.pokemondb.net/artwork/large/primeape.jpg,Fighting,,Pig Monkey Pokémon,1.0 m (3′03″),32.0 kg (70.5 lbs),Vital Spirit | Anger Point | Defiant,['Field'],"50% male, 50% female",65,105,60,60,70,95,455,1,1,1,1,1,1,1,1,1,2,2,½,½,1,1,½,1,2
58,Growlithe,2,Growlithe,https://img.pokemondb.net/artwork/large/growlithe.jpg,Fire,,Puppy Pokémon,0.7 m (2′04″),19.0 kg (41.9 lbs),Intimidate | Flash Fire | Justified,['Field'],"75% male, 25% female",55,70,45,70,50,60,350,1,½,2,1,½,½,1,1,2,1,1,½,2,1,1,1,½,½
58,Growlithe,2,Hisuian Growlithe,https://img.pokemondb.net/artwork/large/growlithe-hisuian.jpg,Fire,Rock,Scout Pokémon,0.8 m (2′07″),22.7 kg (50.0 lbs),Intimidate | Flash Fire | Rock Head,['Field'],"75% male, 25% female",60,75,45,65,50,55,350,½,¼,4,1,1,½,2,½,4,½,1,½,2,1,1,1,1,½
59,Arcanine,2,Arcanine,https://img.pokemondb.net/artwork/large/arcanine.jpg,Fire,,Legendary Pokémon,1.9 m (6′03″),155.0 kg (341.7 lbs),Intimidate | Flash Fire | Justified,['Field'],"75% male, 25% female",90,110,80,100,80,95,555,1,½,2,1,½,½,1,1,2,1,1,½,2,1,1,1,½,½
59,Arcanine,2,Hisuian Arcanine,https://img.pokemondb.net/artwork/large/arcanine-hisuian.jpg,Fire,Rock,Legendary Pokémon,2.0 m (6′07″),168.0 kg (370.4 lbs),Intimidate | Flash Fire | Rock Head,['Field'],"75% male, 25% female",95,115,80,95,80,90,555,½,¼,4,1,1,½,2,½,4,½,1,½,2,1,1,1,1,½
